review_id,destination_id_x,user_id,ratings,review_comments,name,state,category,description,avg_rating,history_id,destination_id_y,visit_date,experience_ratings,name_y,email,category_preferences,state_chosen,number_of_pax,features
R0001,295,U0056,4,Music half general still doctor talk well pass bring purpose information relationship television today certain town.,39,2,1,Traditional fishing beach with colorful boats.,3.8,H0001,91,2024-06-28,5,Valerie Wells,ramirezjeffrey@kelley-smith.info,1,Johor,5,beach Kelantan beach
R0002,242,U0024,4,Vote television site population staff letter imagine forget.,7,13,2,Floating restaurant complex serving local cuisine with scenic river views.,4.0,H0011,428,2023-11-21,3,Ronald Cruz,frodgers@hotmail.com,0,Negeri Sembilan,1,city Terengganu adventure
R0002,242,U0024,4,Vote television site population staff letter imagine forget.,7,13,2,Floating restaurant complex serving local cuisine with scenic river views.,4.0,H0018,419,2023-07-24,2,Ronald Cruz,frodgers@hotmail.com,0,Negeri Sembilan,1,city Terengganu adventure
R0003,354,U0060,4,Future manage commercial face person surface check high different.,61,10,4,Five beautiful islands near KK with excellent snorkeling and beaches.,4.6,H0033,45,2023-10-23,3,Tracie Mann,johnsonmichele@fox.com,4,Kuala Lumpur,3,nature Sabah nature
R0003,354,U0060,4,Future manage commercial face person surface check high different.,61,10,4,Five beautiful islands near KK with excellent snorkeling and beaches.,4.6,H0039,375,2025-05-05,2,Tracie Mann,johnsonmichele@fox.com,4,Kuala Lumpur,3,nature Sabah nature
R0004,282,U0010,1,Whether artist establish daughter decide reduce industry rest nor recognize job step teach teach.,38,2,1,"Famous ""Moonlight Beach"" with golden sands and cultural performances.",4.1,H0004,210,2024-04-16,3,Carol Anderson,wcolon@rivera-smith.com,2,Perlis,5,beach Kelantan city
R0005,387,U0060,2,Risk significant follow executive once among use also work lawyer entire road.,33,11,4,Important archaeological site with prehistoric cave paintings and ancient human remains,4.3,H0033,45,2023-10-23,3,Tracie Mann,johnsonmichele@fox.com,4,Kuala Lumpur,3,nature Sarawak nature
R0005,387,U0060,2,Risk significant follow executive once among use also work lawyer entire road.,33,11,4,Important archaeological site with prehistoric cave paintings and ancient human remains,4.3,H0039,375,2025-05-05,2,Tracie Mann,johnsonmichele@fox.com,4,Kuala Lumpur,3,nature Sarawak nature
R0006,238,U0008,4,Enter scientist others tend service interview offer wall old.,5,13,4,Hilltop offering panoramic views of Kuala Terengganu and the South China Sea.,4.0,H0023,52,2024-07-20,2,Samantha Chavez,wilsonbryan@hotmail.com,4,Pahang,2,nature Terengganu nature
R0007,243,U0028,1,Tell defense boy college appear television war today anything against huge month rather pick civil past.,22,13,2,"Cultural village displaying traditional houses, crafts, and performances.",3.9,H0073,11,2024-02-12,4,Anna Davis,markcastillo@chandler-allen.info,1,Perak,2,city Terengganu beach
R0009,242,U0019,3,Among least tend statement my lot brother side civil serious should safe everyone general need.,7,13,2,Floating restaurant complex serving local cuisine with scenic river views.,4.0,H0064,111,2025-04-24,3,Daniel Miller,michael74@hotmail.com,1,Johor,3,city Terengganu beach
R0010,208,U0004,2,Tree than heart build seem mention ever ask serve.,35,5,1,A sandy beach popular for camping and picnics.,3.8,H0020,163,2025-03-10,2,Jenna Bates,jacqueline28@rodriguez.com,1,Kelantan,5,beach Negeri Sembilan beach
R0011,288,U0021,4,Hand lawyer sound option write act and investment.,2,2,2,WWII-era museum in former bank building documenting Japanese occupation.,3.8,H0050,353,2023-09-14,5,Nancy Curry,ustevens@salazar-snyder.com,1,Selangor,1,city Kelantan beach
R0013,154,U0097,2,Tend age human itself American rock industry discover free loss quickly eye actually.,43,4,2,A lively neighborhood with Portuguese-Malay heritage and seafood restaurants.,4.0,H0029,310,2025-01-30,5,Victoria Myers,kimberlyjackson@sosa.com,3,Perlis,3,city Melaka historical
